id,address,postcode,public_body,removal_proposal_sent,public_body_representation_made,bt_initial_decision,bt_initial_decision_date,public_body_review_requested,bt_final_decision,bt_final_decision_date,latitude,longitude,geocoded_postcode,geocoding_status
1,Great Stone Road Talbot Road Stretford Manchester,M32 0YN,Trafford District (B),16/01/2023,No,Remove,18/05/2023,No,Remove,08/06/2023,53.455625,-2.292159,M32 0YN,ok
2,Junction Elmwood Newham Way Coulby Newham Middlesbrough,TS8 0TP,Middlesbrough (B),07/02/2023,No,Remove,09/05/2023,No,Remove,30/05/2023,,,,not_found
3,Outside Late Shop Burnage Lane Manchester,M19 1NA,Manchester District (B),13/03/2023,No,Remove,03/06/2023,No,Remove,24/07/2023,53.421279,-2.211163,M19 1NA,ok
4,Junction Of Dewsbury Road Ring Road Beeston Leeds,LS11 8HD,Leeds District (B),29/04/2023,No,Remove,30/11/2023,No,Remove,21/08/2023,53.762145,-1.568275,LS11 8HD,ok
5,Junction Maritime Avenue Ensign Court Hartlepool,TS24 0XJ,Hartlepool (B),05/05/2023,No,Remove,05/08/2023,No,Remove,24/08/2023,54.686022,-1.20097,TS24 0XJ,ok
6,Queen Street Glossop,SK13 8EL,High Peak District (B),31/05/2023,No,Remove,04/09/2023,No,Remove,04/09/2023,53.442322,-1.960395,SK13 8EL,ok
7,Manchester Road Mossley Ashton-Under-Lyne,OL5 9AJ,Tameside District (B),31/05/2023,No,Remove,04/09/2023,No,Remove,04/09/2023,53.515354,-2.040964,OL5 9AJ,ok
8,Near Junction Eltham Road Abbey Road West Bridgford Nottingham,NG2 5NF,Rushcliffe District (B),07/06/2023,No,Remove,05/09/2023,No,Remove,07/09/2023,52.930171,-1.121153,NG2 5NF,ok
9,Adjacent 2 Barnard Road Chelmsford,CM2 8RR,Chelmsford District (B),19/06/2023,Yes,Remove,19/09/2023,Yes,Remove,25/09/2023,51.700272,0.475706,CM2 8RR,ok
10,Junc Derby Rd Lenton Abbey Woodside Road Beeston Nottingham,NG9 2TL,City of Nottingham (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,52.937135,-1.215851,NG9 2TL,ok
11,Junction Gravesend Rd/Irvine Rd Irvine Road Higham Rochester,ME3 7AA,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.412572,0.456464,ME3 7AA,ok
12,Meadfield Road Meopham Gravesend,DA13 0PR,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.368167,0.360439,DA13 0PR,ok
13,Adjacent 51 Dene Holm Rd Dene Holm Road Northfleet Gravesend,DA11 8LG,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.42591,0.342671,DA11 8LG,ok
14,Opposite 21 Hunt Rd Coldharbour Road Northfleet Gravesend,DA11 8NT,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.424596,0.353493,DA11 8NT,ok
15,Outside 77 High Street Wivenhoe Colchester,CO7 9AB,Colchester District (B),20/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.857628,0.959376,CO7 9AB,ok
16,Junction Of Sidcup/Thaxted Road Thaxted Road London,SE9 3PU,Greenwich London Borough,21/06/2023,No,Remove,10/10/2023,No,Remove,10/10/2023,51.433599,0.072501,SE9 3PU,ok
17,Outside 108 Edgehill Road Chislehurst,BR7 6LB,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.428165,0.07414,BR7 6LB,ok
18,Junction Of The Fairway Outside 2 Fairmead Bromley,BR1 2JU,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.393736,0.05089,BR1 2JU,ok
19,Opposite Devon House Hawthorn Grove London,SE20 8LF,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.412773,-0.061606,SE20 8LF,ok
20,Outside Croydon Road Beckenham,BR3 3PS,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.402656,-0.036801,BR3 3PS,ok
21,Outside No.Betting Shop Upper Elmers End Road Beckenham,BR3 3QP,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.392022,-0.037601,BR3 3QP,ok
22,Outside 24 Addington Road West Wickham,BR4 9BS,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.373728,0.000929,BR4 9BS,ok
23,Outside 55-59 Upton Lane London,E7 9PB,Newham London Borough,23/06/2023,No,Remove,02/10/2023,No,Remove,02/10/2023,51.543298,0.026487,E7 9PB,ok
24,Opposite Lewes Rd Sundridge Avenue Bromley,BR1 2PU,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.408041,0.033988,BR1 2PU,ok
25,Holmsdale Rd/Mornington Rd Mornington Avenue Bromley,BR1 2RE,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.398617,0.033454,BR1 2RE,ok
26,Plas Newton Newhall Road Chester,CH2 1SA,Cheshire West and Chester (B),23/06/2023,No,Remove,25/09/2023,No,Remove,29/09/2023,53.210921,-2.87472,CH2 1SA,ok
27,Outside 136 Drew Road London,E16 2DG,Newham London Borough,23/06/2023,No,Remove,02/10/2023,No,Remove,02/10/2023,51.503058,0.045465,E16 2DG,ok
28,Adjacent 21 Okehampton Crescent Welling,DA16 1DG,Bexley London Borough,23/06/2023,Yes,Remove,26/09/2023,No,Remove,26/09/2023,51.472665,0.113757,DA16 1DG,ok
29,A548 Opposite Spring St High Street Connahs Quay Deeside,CH5 4DD,Sir y Fflint - Flintshire,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,53.215458,-3.047704,CH5 4DD,ok
30,Nr Park Ave Chester Road Flint,CH6 5DT,Sir y Fflint - Flintshire,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,53.247011,-3.12846,CH6 5DT,ok
31,Nr Kingswood Rd St. Marys Avenue Bromley,BR2 0PR,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.399912,0.002085,BR2 0PR,ok
32,Opposite Bellegrove Road Welling,DA16 3RQ,Bexley London Borough,23/06/2023,Yes,Retain,26/09/2023,No,Retain,26/09/2023,51.464504,0.093482,DA16 3RQ,ok
33,Junction Of Sharnbrooke Close Park View Road Welling,DA16 1SY,Bexley London Borough,23/06/2023,Yes,Retain,26/09/2023,No,Retain,26/09/2023,51.460439,0.116013,DA16 1SY,ok
34,Nr Entrance Aldersbrook Est Aldersbrook Road London,E12 5HH,Redbridge London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.562315,0.033912,E12 5HH,ok
35,F/Ct St Edmund Hse Hurst Pl Woolwich Road London,SE2 0AW,Bexley London Borough,23/06/2023,Yes,Remove,26/09/2023,No,Remove,26/09/2023,51.481538,0.125372,SE2 0AW,ok
36,Junction Of Erith Rd/Rutland Gate Rutland Gate Belvedere,DA17 6HH,Bexley London Borough,23/06/2023,Yes,Remove,26/09/2023,No,Remove,26/09/2023,51.483966,0.153457,DA17 6HH,ok
37,Junction Of Navestock Crescent Broadmead Road Woodford Green,IG8 0AX,Redbridge London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.605427,0.026522,IG8 0AX,ok
38,Junction Of Nightingale Lane East Way London,E11 2DR,Redbridge London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.581466,0.029916,E11 2DR,ok
39,Junction Of Blake Hall Rd Lake House Road London,E11 3QS,Redbridge London Borough,23/06/2023,No,Remove,20/02/2025,No,Remove,29/09/2023,51.562942,0.023176,E11 3QS,ok
40,Willersley Ave/Marlbor Pk Av Willersley Avenue Sidcup,DA15 9EG,Bexley London Borough,23/06/2023,No,Remove,26/09/2023,No,Remove,26/09/2023,51.44262,0.09674,DA15 9EG,ok
41,Outside 17 Montpelier Ave Montpelier Avenue Bexley,DA5 3AP,Bexley London Borough,23/06/2023,No,Remove,26/09/2023,No,Remove,26/09/2023,51.442215,0.1252,DA5 3AP,ok
42,Whitefoot Lane/Whitefoot Ter Whitefoot Lane Bromley,BR1 5SA,Lewisham London Borough,27/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.429398,-0.009933,BR1 5SA,ok
43,Nr St.Pauls Ave Globe Wharfe Rotherhithe Street London,SE16 5SW,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.506357,-0.0435,SE16 5SW,ok
44,Nr Junction Of Sedgmoor Place Southampton Way London,SE5 7EU,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.47785,-0.0832,SE5 7EU,ok
45,Outside 355 Rotherhithe Street London,SE16 4NF,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.501968,-0.053183,SE16 4NF,ok
46,Outside 157-159 Lordship Lane London,SE22 8HX,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.456191,-0.075846,SE22 8HX,ok
47,Outside Rotherhithe Station Railway Avenue London,SE16 4LF,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.501596,-0.05294,SE16 4LF,ok
